Data/Hora, Temperatura Interna, Temperatura Externa, Temperatura Referencia, Valor Potenciômetro
06/03/22 00:11:06,26.7,26.2,40.0,100
06/03/22 00:11:08,26.7,26.2,40.0,100
06/03/22 00:11:10,26.7,26.2,40.0,100
06/03/22 00:11:12,26.8,26.2,40.0,100
06/03/22 00:11:14,26.8,26.2,40.0,100
06/03/22 00:11:16,26.8,26.2,40.0,100
06/03/22 00:11:18,27.0,26.2,40.0,100
06/03/22 00:11:19,27.2,26.2,40.0,100
06/03/22 00:11:21,27.6,26.2,40.0,100
06/03/22 00:11:23,27.6,26.2,40.0,100
06/03/22 00:11:25,27.9,26.2,40.0,100
06/03/22 00:11:27,28.2,26.2,40.0,100
06/03/22 00:11:29,28.2,26.2,40.0,100
06/03/22 00:11:31,28.6,26.2,40.0,100
06/03/22 00:11:33,29.1,26.2,40.0,100
06/03/22 00:11:35,29.5,26.2,40.0,100
06/03/22 00:11:37,29.5,26.2,40.0,100
06/03/22 00:11:38,30.0,26.2,40.0,100
06/03/22 00:11:40,30.6,26.2,40.0,78
06/03/22 00:11:42,31.2,26.2,40.0,34
06/03/22 00:11:44,31.2,26.2,40.0,100
06/03/22 00:11:46,31.7,26.2,40.0,69
06/03/22 00:11:48,32.3,26.2,40.0,0
06/03/22 00:11:50,32.9,26.2,40.0,-18
06/03/22 00:11:52,32.9,26.2,40.0,100
06/03/22 00:11:54,33.4,26.2,40.0,16
06/03/22 00:11:55,34.0,26.2,40.0,-25
06/03/22 00:11:57,34.0,26.2,40.0,100
06/03/22 00:11:59,34.6,26.2,40.0,-41
06/03/22 00:12:01,35.1,26.2,40.0,-31
06/03/22 00:12:03,35.5,26.2,40.0,-20
06/03/22 00:12:05,35.5,26.2,40.0,100
06/03/22 00:12:07,35.9,26.2,40.0,-33
06/03/22 00:12:09,36.3,26.2,40.0,-19
06/03/22 00:12:11,36.8,26.2,40.0,-57
06/03/22 00:12:12,36.8,26.2,40.0,100
06/03/22 00:12:14,37.1,26.2,40.0,-43
06/03/22 00:12:16,37.4,26.2,40.0,-1
06/03/22 00:12:18,37.8,26.2,40.0,-62
06/03/22 00:12:20,37.8,26.2,40.0,87
06/03/22 00:12:22,38.1,26.2,40.0,-46
06/03/22 00:12:24,38.3,26.2,40.0,-29
06/03/22 00:12:26,38.3,26.2,40.0,70
06/03/22 00:12:28,38.6,26.2,40.0,-63
06/03/22 00:12:29,38.9,26.2,40.0,-46
06/03/22 00:12:31,39.1,26.2,40.0,-53
06/03/22 00:12:33,39.1,26.2,40.0,46
06/03/22 00:12:35,39.3,26.2,40.0,-34
06/03/22 00:12:37,39.5,26.2,40.0,-40
06/03/22 00:12:39,39.8,26.2,40.0,-72
06/03/22 00:12:41,39.8,26.2,40.0,27
06/03/22 00:12:43,39.9,26.2,40.0,-26
06/03/22 00:12:45,39.9,26.2,40.0,-3
06/03/22 00:12:47,40.2,26.2,40.0,-85
06/03/22 00:12:48,40.2,26.2,40.0,14
06/03/22 00:12:50,40.2,26.2,40.0,-12
06/03/22 00:12:52,40.2,26.2,40.0,12
06/03/22 00:12:54,40.2,26.2,40.0,12
06/03/22 00:12:56,40.4,26.2,40.0,-41
06/03/22 00:12:58,40.6,26.2,40.0,-72
06/03/22 00:13:00,40.8,26.2,40.0,-100
06/03/22 00:13:02,40.8,26.2,40.0,-5
06/03/22 00:13:04,40.7,26.2,40.0,48
06/03/22 00:13:05,40.6,26.2,40.0,52
06/03/22 00:13:07,40.6,26.2,40.0,-24
06/03/22 00:13:09,40.6,26.2,40.0,0
06/03/22 00:13:11,40.8,26.2,40.0,-80
06/03/22 00:13:13,40.9,26.2,40.0,-59
06/03/22 00:13:15,40.9,26.2,40.0,-9
06/03/22 00:13:17,40.9,26.2,40.0,-10
06/03/22 00:13:19,40.8,26.2,40.0,43
06/03/22 00:13:21,40.8,26.2,40.0,20
06/03/22 00:13:22,40.8,26.2,40.0,-4
06/03/22 00:13:24,40.8,26.2,40.0,-31
06/03/22 00:13:26,41.0,26.2,40.0,-87
06/03/22 00:13:28,41.0,26.2,40.0,-12
06/03/22 00:13:30,41.0,26.2,40.0,-13
06/03/22 00:13:32,40.9,26.2,40.0,40
06/03/22 00:13:34,40.8,26.2,40.0,17
06/03/22 00:13:36,40.8,26.2,40.0,-8
06/03/22 00:13:38,40.8,26.2,40.0,-8
06/03/22 00:13:39,40.9,26.2,40.0,-62
06/03/22 00:13:41,40.9,26.2,40.0,-12
06/03/22 00:13:43,40.8,26.2,40.0,41
06/03/22 00:13:45,40.8,26.2,40.0,-8
06/03/22 00:13:47,40.8,26.2,40.0,17
06/03/22 00:13:49,40.9,26.2,40.0,-61
06/03/22 00:13:51,40.9,26.2,40.0,-11
06/03/22 00:13:53,40.9,26.2,40.0,-11
06/03/22 00:13:55,40.8,26.2,40.0,15
06/03/22 00:13:56,40.8,26.2,40.0,16
06/03/22 00:13:58,40.8,26.2,40.0,-8
06/03/22 00:14:00,40.8,26.2,40.0,-35
06/03/22 00:14:02,40.9,26.2,40.0,-37
06/03/22 00:14:04,40.9,26.2,40.0,-12
06/03/22 00:14:06,40.9,26.2,40.0,-12
06/03/22 00:14:08,40.8,26.2,40.0,14
06/03/22 00:14:10,40.8,26.2,40.0,-11
06/03/22 00:14:12,40.9,26.2,40.0,-38
06/03/22 00:14:13,40.9,26.2,40.0,-13
06/03/22 00:14:15,40.9,26.2,40.0,-13
06/03/22 00:14:17,40.8,26.2,40.0,40
06/03/22 00:14:19,40.8,26.2,40.0,-10
06/03/22 00:14:21,40.6,26.2,40.0,43
06/03/22 00:14:23,40.6,26.2,40.0,-6
06/03/22 00:14:25,40.7,26.2,40.0,-33
06/03/22 00:14:27,40.7,26.2,40.0,-8
06/03/22 00:14:29,40.7,26.2,40.0,-8
06/03/22 00:14:31,40.6,26.2,40.0,44
06/03/22 00:14:32,40.4,26.2,40.0,48
06/03/22 00:14:34,40.4,26.2,40.0,-1
06/03/22 00:14:36,40.5,26.2,40.0,-28
06/03/22 00:14:38,40.6,26.2,40.0,-30
06/03/22 00:14:40,40.5,26.2,40.0,21
06/03/22 00:14:42,40.5,26.2,40.0,-3
06/03/22 00:14:44,40.4,26.2,40.0,49
06/03/22 00:14:46,40.4,26.2,40.0,-27
06/03/22 00:14:48,40.4,26.2,40.0,-2
06/03/22 00:14:49,40.4,26.2,40.0,-2
06/03/22 00:14:51,40.5,26.2,40.0,-29
06/03/22 00:14:53,40.4,26.2,40.0,49
06/03/22 00:14:55,40.4,26.2,40.0,0
06/03/22 00:14:57,40.3,26.2,40.0,26
06/03/22 00:14:59,40.4,26.2,40.0,-25
06/03/22 00:15:01,40.4,26.2,40.0,-27
